row.labels;totalprice;area;zone;category;age;floor;rooms;out;conservation;toilets;garage;elevator;streetcategory;heating;tras
1;228000;7530999756.00;Z45;4B;33;3;5;E100;2B;1;0;1;S3;3A;0
2;409000;1006500015.00;Z31;3B;5;7;5;E50;1A;2;1;1;S5;4A;1
3;200000;8887000275.00;Z52;3A;14;8;5;E50;1A;2;0;1;S2;3A;0
4;180000;6261000061.00;Z62;4A;41;3;4;E50;2A;1;0;0;S3;1A;0
5;443600;1461499939.00;Z31;3A;22;6;7;E100;1A;2;0;1;S4;4A;1
6;173000;7720999908.00;Z11;4B;35;4;5;E50;1A;1;0;0;S4;3A;1
7;245000;7704000092.00;Z47;3A;14;6;4;E50;1A;1;0;1;S3;4A;1
8;210000;6290000153.00;Z48;3B;36;3;4;E100;3A;1;0;0;S3;3A;1
9;188982.2;5847999954.00;Z11;4B;37;4;4;E25;2A;1;0;0;S4;3A;1
10;193000;5915999985.00;Z11;3B;11;5;4;E50;1A;1;0;0;S4;3A;1
11;333000;1114000015.00;Z37;4B;36;6;6;E50;2B;2;0;1;S2;4A;1
12;224000;6612000275.00;Z48;4B;10;3;5;E100;1A;1;0;0;S3;3A;1
13;560000;1558999939.00;Z21;2B;7;4;6;E100;1A;2;1;1;S4;3B;1
14;214400;6902999878.00;Z36;4B;9;2;5;E100;1A;1;0;1;S4;3A;1
15;268000;8626999664.00;Z61;3B;14;6;5;E100;1A;1;0;1;S4;3A;1
16;230000;6458000183.00;Z37;3B;10;4;4;E50;1A;1;0;0;S2;3A;0
17;207500;6768000031.00;Z48;3B;31;4;4;E100;1A;1;0;0;S3;3A;1
18;254000;8211000061.00;Z61;3B;25;4;5;E100;2B;1;0;1;S4;3A;1
19;221000;8644999695.00;Z46;4A;16;2;5;E100;2A;1;0;1;S3;3A;1
20;360500;1087399979.00;Z43;3A;14;3;5;E75;1A;2;1;1;S3;4A;1
21;250000;7479000092.00;Z45;3B;16;4;5;E50;1A;1;0;1;S3;3A;1
22;380000;103.00;Z37;3B;15;3;6;E50;1A;1;1;1;S3;3A;1
23;338000;1061500015.00;Z56;3A;4;2;5;E100;1A;2;0;1;S3;3A;1
24;372000;1155899963.00;Z44;3B;17;4;6;E100;1A;2;1;1;S4;3A;1
25;290000;9305999756.00;Z53;3A;10;8;5;E100;1A;2;0;1;S3;3A;1
26;270000;7872000122.00;Z36;3B;18;9;5;E50;1A;1;0;1;S4;3A;1
27;330000;9452999878.00;Z56;2B;7;3;4;E100;1A;2;1;1;S3;3A;1
28;340000;1215100021.00;Z46;3B;31;6;6;E100;2B;2;0;1;S3;4A;1
29;270000;868199997.00;Z53;3A;14;7;5;E100;1A;2;0;1;S3;3A;1
30;258000;7180000305.00;Z32;3B;12;2;4;E50;1A;1;0;1;S3;3A;1
31;407000;1879100037.00;Z31;4A;38;3;6;E50;2B;1;0;1;S5;4A;1
32;178000;53.00;Z62;4B;59;3;4;E50;2B;1;0;0;S3;1A;0
33;333000;9188999939.00;Z41;3B;14;5;5;E100;1A;2;1;1;S4;4A;1
34;403000;1188600006.00;Z41;3A;25;5;6;E100;1A;2;1;1;S4;4A;1
35;204000;6215000153.00;Z62;3B;13;3;5;E50;1A;1;0;0;S3;3A;0
36;198000;59.00;Z41;4B;25;5;4;E100;1A;1;0;0;S3;3A;1
37;330500;1107099991.00;Z61;3A;18;5;5;E100;1A;2;1;1;S3;4A;1
38;220000;6033000183.00;Z41;4A;31;2;4;E100;2B;1;0;0;S3;3A;1
39;373000;1037200012.00;Z37;3A;29;3;5;E50;1A;2;1;1;S2;4A;1
40;230000;6494000244.00;Z45;3A;35;6;5;E50;2B;1;0;1;S3;3A;1
41;278000;8554000092.00;Z41;3A;11;3;5;E100;1A;2;0;1;S2;3A;1
42;281500;9495999908.00;Z37;4B;21;3;5;E50;1A;1;0;0;S2;3A;1
43;227500;8611000061.00;Z46;3A;14;7;5;E100;2A;1;0;1;S3;3A;1
44;178000;1084400024.00;Z11;4B;118;3;5;E50;2B;1;0;0;S4;3A;1
45;269500;8669000244.00;Z47;2B;14;5;5;E100;1A;2;0;1;S3;4A;1
46;292000;9112000275.00;Z53;3B;8;5;5;E100;1A;2;0;1;S3;3A;1
